,name,id,text,retweet_count,like_count,created_at
26,nytimes,1599097393949163528,From @TheAthleticFC: Argentina went from being one of the pre-tournament favorites to a shocking upset loss to winning its group. Australia was one of the biggest longshots entering the World Cup but is in the Round of 16 to take on Lionel Messi and co. https://t.co/yDm0s9D9Zk,18,122,2022-12-03 17:45:03+00:00
27,nytimes,1599096143237070860,"The deaths of men that were at first regarded as isolated drug overdoses have now spread fear and rumor in New York's LGBTQ community, while starting a broader conversation about similar attacks that have quietly plagued the city's gay nightlife for years. https://t.co/fQLzJlyijN",41,148,2022-12-03 17:40:04+00:00
28,nytimes,1599093654353756160,"“I wanted a different kind of adventure than the kind people tend to associate with the islands,” writes @tariro, “one that didn’t involve parking myself on a beach with a mai tai.” On a trip to Hawaii, she gave sustainable tourism a shot. https://t.co/Q7nBNyt3VX",11,82,2022-12-03 17:30:11+00:00
29,nytimes,1599093606455087105,RT @TheAthleticFC: Migrant workers have helped build Qatar's World Cup from scratch - but some are earning just £227 a month and sleep in d…,41,0,2022-12-03 17:30:00+00:00
30,nytimes,1599092379428036608,"A Texas man was arrested on Friday on a federal charge that he left a voice mail message in which he threatened to kill a Boston doctor who provides care to gender nonconforming children, the authorities said. https://t.co/iY78xYQlqP",57,242,2022-12-03 17:25:07+00:00
31,nytimes,1599092374533292037,"When the 69-year-old man's blood pressure was measured while lying flat, it was normal. But it plunged when he sat up. And when he stood up, it dropped so low he almost fainted. It was happening more and more often. What was wrong with him? https://t.co/cIXOfdjMmk",25,139,2022-12-03 17:25:06+00:00
32,nytimes,1599089848463286272,"From @TheAthleticFC: The past four World Cups have spanned 12 years, visited four continents and cost their hosts somewhere in the ballpark of $250 billion.
Despite all that, there’s one big problem: every World Cup now looks the same. https://t.co/HJXwoRRSIT",40,204,2022-12-03 17:15:04+00:00
33,nytimes,1599087984934113280,"The Netherlands beat the U.S. in a World Cup Round of 16 game, sending the Americans home. Next up for the Netherlands will be the winner of the Argentina-Australia match played later on Saturday. https://t.co/Ne05Kx3iKC https://t.co/wOdprNqS4f",186,1407,2022-12-03 17:07:39+00:00
34,nytimes,1599086180846501889,"""One of the best things I’ve eaten in ages. Every bite was a perfect combination of rich complex flavors and cheesy goodness.""

Have a quesabirria taco. You deserve it.
https://t.co/9YiRibtIjX https://t.co/C7HM8VPiJz",69,839,2022-12-03 17:00:29+00:00
35,nytimes,1599085585154670593,Breaking News: The U.S. is out of the World Cup after falling to the Netherlands in a decisive game. https://t.co/yHJrFER19n,59,367,2022-12-03 16:58:07+00:00
36,nytimes,1599084821057343488,"Astra Magazine attracted great names. It sold well. And then it was over before the third issue. 

Its short existence offers insight into what is possible for a literary magazine, and into the tenuous place those publications occupy in U.S. publishing. https://t.co/bH4HblEyVP",17,74,2022-12-03 16:55:05+00:00
37,nytimes,1599083567358922753,From @TheAthleticFC: So you’re having to face the overpowering horror of taking part in a #FIFAWorldCup penalty shootout? Good luck. Here are a few suggestions on how to design the perfect shootout. https://t.co/oROKS5Pglm https://t.co/FOmVmC0nDT,18,89,2022-12-03 16:50:06+00:00
38,nytimes,1599081049547489282,"A Ukrainian official on Saturday urged civilians to leave the eastern bank of the Dnipro River, across from the city of Kherson, warning of the “possible intensification of hostilities” there. https://t.co/QLx6f3rby9",34,125,2022-12-03 16:40:06+00:00
39,nytimes,1599077272002215936,"""The rats are absolutely going to hate this announcement. But the rats don’t run this city, we do.""

With those words, New York City’s new sanitation commissioner, Jessica Tisch, became a social media sensation. Now, she's determined to clean up the city. https://t.co/C6MGzrA0e1",34,251,2022-12-03 16:25:05+00:00
40,nytimes,1599074748109099008,"Many teens feel the weight of the world on their shoulders. The best gifts for them help them relax, recharge and have some fun. Here are @wirecutter's top recommendations. https://t.co/xrOvoNSBBZ https://t.co/YJXFvBRqT7",15,64,2022-12-03 16:15:03+00:00
41,nytimes,1599070465833705473,The U.S.'s hopes of advancing in the World Cup are dimming as the team trails the Netherlands 2-0 at halftime. See highlights and follow live updates. https://t.co/m2RUajExwV,31,132,2022-12-03 15:58:03+00:00
42,nytimes,1599069718530383873,We took a closer look at three memorable goals from the group phase of this year's World Cup. See the critical moment when each ball was struck into the net. https://t.co/0hXSRcpwLU,28,125,2022-12-03 15:55:04+00:00
43,nytimes,1599065937461841921,"In the much-respected Sight and Sound poll of the best films ever made, the same ""serious movies"" were taken seriously decade after decade. But the newest list marks several radical shifts from the accepted wisdom. https://t.co/DugUOuI4ho",31,117,2022-12-03 15:40:03+00:00
44,nytimes,1599062169697632256,"No one knew what to do with a lost Russian pilot who suddenly appeared in the occupied city of Kherson, Ukraine. Seeing no good options, a man overseeing a civilian watch group returned him to the Russians. Now, Ukrainian officials say that was a crime. https://t.co/yS82LFwX7F",28,136,2022-12-03 15:25:05+00:00
45,nytimes,1599059409665245185,🟨🟩 How did you do in Wordle today? 🟨🟩  https://t.co/5B6JdhuNV3 https://t.co/kiWis2QThh,14,64,2022-12-03 15:14:07+00:00
46,nytimes,1599056092474081280,"The U.S. is facing the Netherlands in the World Cup — and for the American team, it's win or go home. Follow our live coverage. https://t.co/e7fXPbBws5",26,151,2022-12-03 15:00:56+00:00
47,nytimes,1599055919639306241,"From @TheAthletic: Even prior to the heroics against Iran, it was undeniable that Christian Pulisic has performed like the needed centerpiece of the U.S. attack despite struggling to get regular playing time at Chelsea all season. https://t.co/RWk9ys7wFx",14,53,2022-12-03 15:00:14+00:00
48,nytimes,1599054610865471488,"The Afghan women's national soccer team risked their lives to play the sport, and risked them again when the Taliban took over and they fled to Australia. But FIFA, yielding to Afghanistan's soccer federation, no longer recognizes the team. https://t.co/Kk8dmusS3j",237,480,2022-12-03 14:55:02+00:00
